"","AC013264.2","AGER","AGR3","ANXA3","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C9orf116","C9orf24","CAPSL","CATSPERD","CCDC78","CCNL1","CFAP126","DNAAF1","DYNLRB2","EFCAB1","FABP6","FAM183A","FAM229B","FAM92B","FXYD3","GAS6","HOPX","IGF2","LRRC46","LRRIQ1","MALL","MORN5","MS4A8","MT-ND5","NEAT1","NUPR1","OMG","PIFO","PIGR","RNASE1","ROPN1L","RP11-356K23.1","RPS4Y1","RSPH1","RSPH9","RTKN2","S100A14","SFTPC","SFTPD","SLPI","SNTN","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"C5orf49",0.0264607001117743,0.000901335539268522,0.0072781615554284,0.00196689001981168,0.0275495496366578,0.0239822990404362,0.0315849437596012,0.0447977993984318,0.0259545596405462,0.0426744521512928,0,0.0164796571641239,0.0455152395693566,0.0415346339004719,0.0217166414861246,0.0226297073803445,0.00324388570486834,0.0460537619436246,0.022390906429325,0.0246420171564414,0.0280073732766573,0.0462774598075382,0.0418081637712401,0.03509752522292,0.0337462456761807,0.00298569705903157,0.00383572406782215,0.026463542561046,0.00116412190524959,0.0169443880506076,0.0442620596328649,0.0171038380081555,0.0367967069069115,0.0198205550688181,0.00325628179660808,0.00187472304621204,0.00224540408395441,0.0171263876736547,0.0218874565336401,0.0022772945590056,0.0140647329854492,0.0325614184323838,0.0238804752057044,0.00237926400088948,0.0461209183036372,0.0222340750084195,0.00170924920304762,0.015761173999936,0.0014930482005287,0.00212913042287588,0.00189116676588623,0.0335901906226412,0.0133740460994011,0.00139324544594316,0.000613592393302451,0.0508786202722373,0.00431164532819911
"C9orf116",0.00761345156835113,0.00226967254506257,0.0123876338278415,0.00732772554340928,0.0357060085199954,0.0302356714097613,0.0143034461498517,0.0284899786302839,0.0303207762903263,0.0280807968301173,0.0243592904550041,0,0.0398798839724759,0.0120618576066099,0.00980615530133535,0.0363011738452761,0.00648163127831957,0.0215102171783209,0.0293919624700761,0.0240932719402869,0.0113214631469723,0.0285367785629961,0.0420286627484225,0.00846388154730847,0.0129627151288334,0.0119236230229167,0.0056908775611943,0.00988572201481617,0.00592020718261157,0.024004586870828,0.0185942139855593,0.0187432770798345,0.0235526660064325,0.0327523720378229,0.00497235354208922,0.00391907097882948,0.00417302394857276,0.0199227960999312,0.0240821979462898,0.00330165052706151,0.00709984852652858,0.0242055961527385,0.00821052577910239,0.00548708164068759,0.0286044262312107,0.00979924251244059,0.00320185839824822,0.00534669880206849,0.00710968658799343,0.00785208261469081,0.00414827545605958,0.0251669683849811,0.0118563421724557,0.00583237313008556,0.00455824982091864,0.0152736717320844,0.00669851564811514
"C9orf24",0.0974906980735227,0.00136156619734296,0.0145113404143676,0.00502361070447783,0.12418887721817,0.106395084578217,0.0873055358121501,0.116655195191658,0.141812103406229,0.101728687304213,0.128991822731167,0.117202557297661,0,0.100203931983629,0.0877618764231913,0.114629368811851,0.00473196469297966,0.0898265776603942,0.102139535691899,0.111667375581204,0.0825227284981187,0.0882369958226967,0.140670521200048,0.0818529628199426,0.111122217371204,0.00843539270444334,0.00342106673341537,0.0603005955139188,0.00293479210767999,0.0916128902268265,0.107706299125524,0.0261095473897605,0.113467265475944,0.0987616290919094,0.00352930967176843,0.00255232354196012,0.00235027293033841,0.0835532955181983,0.0929585090254371,0.00406257623094822,0.0310390656672858,0.107101867334711,0.103908958527896,0.00290675377581175,0.108493100963027,0.0726262904917655,0.0015085795087841,0.0277799436762406,0.00409076685681287,0.00653694090816369,0.00367576052869247,0.120609439984088,0.0710669086856967,0.00252166995843493,0.00248219547019922,0.100499162986365,0.0157354854788648
"CAPSL",0.0324890737135607,0.000867822945538783,0.00136561492983433,0.00100843160012811,0.0335221722163554,0.0658714697625071,0.0485384171484069,0.0396832685408818,0.031199519135643,0.0243881645165106,0.0316511772679955,0.0146183300681348,0.0187735455716374,0,0.0437252777229779,0.0160372802057395,0.00200570470665919,0.0368711729105253,0.0237321001614898,0.0426213662126903,0.059769322415244,0.024403844298078,0.0207263934227145,0.0342975071897168,0.0432551845204938,0.0017302000196211,0.00224933826654065,0.00345099406584994,0.000738504839715427,0.014379185667367,0.0300049543690548,0.0112680115161188,0.0332736010834485,0.0379356604436742,0.00180599428058253,0.00158674603786736,0.00154970970312349,0.043032582547107,0.0131427568165294,0.00144301094077139,0.0126057707335235,0.0389135141733025,0.0418109504582778,0.00249089794687626,0.0301729420816351,0.061505920615309,0.000258754801434935,0.00797311909190309,0.00191015237086851,0.00131799953991333,0.00120455639702411,0.0198359655735985,0.039732680749899,0.000839483840893599,0.000180439966043139,0.0245873314690351,0.00213706550571055
"CATSPERD",0.0311136678167813,0.00022083429174528,0.000309368676088333,0.000584757398399537,0.00785290861988818,0.00937828387056506,0.00646661834378961,0.0038279260012575,0.00909843196781648,0.00488981376734682,0.0100610344215544,0.00452495188604571,0.00753344164221366,0.0158176940507343,0,0.0124393855515147,0.00117630506047671,0.0109534477339914,0.00558912486057248,0.0156164309007734,0.0364082301953095,0.011301651713516,0.00342640871832079,0.00683068229902535,0.0111061157911457,0.000715600698025671,0.0032632443744658,0.00112901254634379,0.000200383511307881,0.0121658948489872,0.00295417382129339,0.000661957286088809,0.0119081199211354,0.00500280104537021,0.00127664225207334,0.00134193557236564,0.00097126318638769,0.0224028790269757,0.00246574448964778,0.000717190712540688,0.00172811977874075,0.0112394605916208,0.0109760555287181,0.00111488327561643,0.012285111639798,0.00624448571659741,4.75891293543933e-05,0.000950021784189132,0.000541145039614707,0.000161853000068946,0.00124476682515745,0.00768778280925899,0.0135971211771472,8.46341059070539e-05,0.00030907590112075,0.00671338324820686,0.000468371828980929
"CCDC78",0.0256412331507035,0.000747923129389737,0.00258061110467276,0.00255774931813183,0.00390684282311083,0.0436519958101853,0.00869489688237762,0.0113791712875385,0.0182307774005878,0.02210146210679,0.0106795923081658,0.029614418816912,0.0129757709244748,0.0130915419578375,0.0265897235567104,0,0.00295512442135481,0.00963993281185659,0.0533558870228362,0.0071570587248177,0.0286618749511626,0.00820737239531696,0.00910851381172935,0.0120850466147387,0.03655613161657,0.00388044092280355,0.00492866464879062,0.00328673789040135,0.000875491607247211,0.0197997627868727,0.0323419936115539,0.0021209940302363,0.00969954902794699,0.0131835733191738,0.0015280703687499,0.000912103082543947,0.0036669923341665,0.00783768759594061,0.00565549936411572,0.0020156954391075,0.0048943396840597,0.0316262677243129,0.0159875186459571,0.00257933062457226,0.0211463874461,0.00890642561973885,0.000608665691515186,0.00303164317688726,0.00135232493580605,0.00126714039533334,0.00189919119941808,0.0149965491548393,0.0385480228541951,0.000608353186886996,0.000389590388213772,0.0155607375466558,0.00113586923051382
"CCNL1",0.00435068523762389,0.0121517407058297,0.0277616041785165,0.0239813682913796,0.00200342547282439,0.00702305619625976,0.0109060413272084,0.00167721840833678,0.00141187531992934,0.00346667741388151,0.00435548465459155,0.0122067372629823,0.00184791876212407,0.00361248833962584,0.00301436548921421,0.00336130053223713,0,0.00802807757865529,0.00313465007599514,0.00394031984754383,0.00304503851427363,0.0065131716814451,0.00130410216247555,0.0130077039181972,0.00360702506725478,0.0270418195081019,0.0240761381523204,0.0256917440378752,0.0270840014466477,0.00567480760214893,0.00808871087049331,0.0296579543452305,0.00388024366411462,0.00403160839060473,0.0552880984098725,0.11646707831841,0.0130553829628239,0.00664018385397999,0.0113141915301574,0.0151897029450703,0.0271650995976177,0.00240549586156545,0.00404860397457824,0.0399482927972345,0.00575041839864227,0.0046068751771417,0.010384920142019,0.0379016400680791,0.0146268807341181,0.0075465154902349,0.0152318878099765,0.00528047857083863,0.00622256113943165,0.0244377238640591,0.0199105264952728,0.0067710369701602,0.0355085446555259
"CFAP126",0.00487509919123909,0.000520076494430175,0.00830885140078238,0.00136164780507188,0.011719787156919,0.00506803399091291,0.00417761742635344,0.00561575826644686,0.00225542815492316,0.00464189084341283,0.00980087456473342,0.00870334755312004,0.0030102322191679,0.00617143969412902,0.0086985693773267,0.00230480847969647,0.00497029850788602,0,0.00825445295921812,0.00777204869733952,0.00506663560260793,0.00491755124331577,0.00178696233614471,0.0126466295325629,0.00492890052142204,0.00222688766143537,0.00172198563911711,0.00669634789564689,0.00154842028308967,0.00600001722067279,0.0134129081659611,0.00248838368547757,0.0226208879626846,0.00356073138414533,0.00364344564553148,0.00437919099225035,0.00150056180325349,0.00773789475407122,0.0199806273152561,0.003004139762701,0.00661081646026992,0.00626932381676865,0.00626981650611844,0.00206988417994121,0.00954768158655928,0.0281919455077279,0.000450485390387814,0.00355631169826203,0.00175286813003187,0.000971210396419922,0.00189288026699354,0.00837314549286741,0.0103747277650669,0.00166685480345223,0.000367205524445669,0.00988024350878151,0.000699837318466056
"DNAAF1",0.0172411366275743,0.000606826113963587,0.00186596065023359,0.00156443870064188,0.0245402637990404,0.0272896988641856,0.0384822796791532,0.0365965223370486,0.0533632626547102,0.0341046558347772,0.0181439764552449,0.0378749401679308,0.0427831796291622,0.037114871659219,0.0209145345532046,0.085560252329392,0.0036791478017576,0.0199575782474183,0,0.0217841638477486,0.0284019055427624,0.0279989060517173,0.0503745782306945,0.0310749583872451,0.0222639156851196,0.00196022578304391,0.00351198573260537,0.0150810862145134,0.00144691546622581,0.024598789430421,0.0793373533444411,0.00433907281303707,0.0149020066795026,0.0484841851964831,0.00510978331890769,0.00253663992617167,0.00128469530522277,0.0092153891859422,0.0360403473644195,0.00213312761185075,0.0163710386581738,0.0283030485591837,0.034588800012011,0.00435234579167151,0.031072926443123,0.0365020774708316,0.00068491188873667,0.0114516651163655,0.00201133207181619,0.00304031892339746,0.0015067781386031,0.0508074211921709,0.0356293338722299,0.00137231151064571,0.000596139444940664,0.0629578189820667,0.00529974560320028
"DYNLRB2",0.022342882275627,0.000843716322153664,0.00513261593969487,0.00148636897008728,0.0238807601610985,0.0424450363843753,0.0219912232672718,0.0465755291314983,0.031448523080524,0.0127157160094513,0.0210307472153571,0.0145213943374977,0.0311120900100489,0.0307793385716312,0.0555147655154026,0.0101108976520309,0.00237999396087263,0.0280307777377298,0.0104837446050264,0,0.0437069452949373,0.038581811253376,0.0369553314128962,0.0222794866994058,0.0166192938011953,0.00250158524059369,0.00264984418404899,0.0117912351190472,0.000991438345263138,0.0226523061761277,0.01254934267578,0.00561364004107445,0.0404524299897995,0.0267223613110524,0.00158546087443573,0.000984184974851307,0.00279293500319467,0.0125072992564756,0.0268604120493548,0.00197107458172939,0.00703591617760883,0.0169709938210429,0.0181026831785641,0.00337596145538545,0.0272662943531561,0.045872612164973,0.000242544551418943,0.0103668393268379,0.00156098068281184,0.000456429599876043,0.00141140337087297,0.0304826864352545,0.0112284206070536,0.00110183896824107,0.000645710329436818,0.0127000810926191,0.00572279083245203
