"","AC013264.2","AGER","AGR3","ANXA3","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C9orf116","C9orf24","CAPSL","CATSPERD","CCDC78","CCNL1","CFAP126","DNAAF1","DYNLRB2","EFCAB1","FABP6","FAM183A","FAM229B","FAM92B","FXYD3","GAS6","HOPX","IGF2","LRRC46","LRRIQ1","MALL","MORN5","MS4A8","MT-ND5","NEAT1","NUPR1","OMG","PIFO","PIGR","RNASE1","ROPN1L","RP11-356K23.1","RPS4Y1","RSPH1","RSPH9","RTKN2","S100A14","SFTPC","SFTPD","SLPI","SNTN","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"CCDC78",0,0.00218536772159192,0.0277441466378504,0.000384238133555532,0,0,0,0,0.476042878121742,0,0,0,0,0,0,0,1.67256540534632e-05,0,0,0,0,0,0.437608758232205,0.116166206212483,0,0.0242733185902837,0.0063381447720618,0.0503855644514221,0.000634893597458541,0,0,0.0354816008368561,0,0,0.00376714906075693,7.28411671013801e-05,0.000557594646595938,0,0,0.000481520800198343,0.0468998749384471,0,0,0.00845729952293302,0,0,0.00263247315248928,0.0420211857579524,0.00335076541344084,0.0158629441485505,0.000383400453219699,0,0,0.00528630348096292,0.00164392107449836,0,0.0243189213791083
"CCNL1",4.37083841310706e-05,0.00029441212360017,0.000991443223500322,0.002324904558128,0.000146298182535153,0.000211858825327439,0.000123434689906716,3.80429678686103e-06,0.000100394529039542,3.96972031922913e-05,9.45022908991827e-06,0.00208703969701022,1.22802065085171e-06,1.0117118465263e-05,4.42238439608929e-06,1.67256540534632e-05,0,0.000615232027532534,5.5539977909046e-06,3.18401895421379e-07,8.17555568552566e-05,0.000229342443287314,4.04302794082069e-06,0.000506098888210449,6.07163766609525e-06,0.000224964432135187,5.70278961178951e-05,0.000394458938299307,0.00496161137366527,0.000339147303209943,5.17536221036901e-05,0.000761759396178432,0.000259406218338972,7.47915358649189e-06,0,0.0616878820895879,0.0034228165884992,0.000316097468203728,0.000193705316604412,0.0108146414487723,0.000315954678517637,1.85816344965814e-05,9.95839600789011e-05,0.000783524949436578,0.00167692797082181,0.000241439138863619,0.00174780470031996,0.000178631729659133,0.012601364034295,0.00895936310269519,0.0086465584103362,0.000470565715528248,0.000165895040417186,0.00256861119447475,0.00434765047522875,0.000329961660619971,0.0170975736485774
"CFAP126",0,0.00397637859058531,0.0238955101285144,0.000736427392741961,0.324436438672062,0,0,0.315979476529887,0.301657639099283,0,0.312483138953246,0,0,0,0,0,0.000615232027532534,0,0,0,0,0,0,0.124859515109881,0,0.00724486805388631,0.00128914700891617,0.0625000325563892,0.0022299514143112,0,0,0.0336734983708934,0.351057119225147,0,0.000511339762382952,0.00354298254320425,0.000988699333873551,0,0.182037103624168,0.00142932680450621,0.0508105050760643,0,0,0.00874372462314637,0,0,0.000894698028963872,0.0471654664660963,0.00789337195939593,0.0187419434884133,0.000868237781455481,0,0,0.00515692516771277,0.0024918957562359,0,0.01084120492708
"DNAAF1",0,0.00235613520638716,0.0266417934026296,0.00135744502882673,0.436176979873106,0,0,0,0.477910500278299,0,0,0,0,0,0,0,5.5539977909046e-06,0,0,0,0,0,0,0.124510490884629,0,0.0182613938651118,0.00551543676743736,0.0573581031485352,0.000877715799667914,0,0.234091376932783,0.0353756583735282,0,0,0.00648085479061957,0.000425203545869263,0,0,0,0,0.0582754713665806,0,0,0.00888173006722565,0,0,0.00181856715900851,0.0433226888280746,0,0.0188698460395925,0,0,0,0.00642944269394164,0.00123804697730595,0,0.0260213361636879
"DYNLRB2",0,0.00132523137602909,0.0415179927465232,0.000884313637229739,0.486748482953724,0,0,0,0.516886956584001,0,0,0,0,0,0,0,3.18401895421379e-07,0,0,0,0,0,0.477976111137268,0.127911912932678,0,0.027860517200413,0.00618412037090786,0.0525108955128416,0.000848184323256605,0,0,0.0388372334924781,0,0,0.00318454237048109,3.24669900444723e-05,0.00115226233277473,0,0,0.00184011505725863,0.041391372539903,0,0,0.00755369912674031,0,0.297445399433729,0.00138278216485228,0.0415421674578404,0.00201745037437298,0.0094362465924137,0.00206745908030156,0,0,0.0041468044646565,0.000475790055526992,0,0.033995624580913
"EFCAB1",0,0.00209874958720231,0.0337517872146518,0.00094871834734336,0.495172473929479,0,0,0,0.507437141008357,0.470259846944729,0,0,0,0.509416413246236,0.481036650039684,0,8.17555568552566e-05,0,0,0,0,0,0,0.122769602933982,0,0.02409305176909,0.0067036823210944,0.0535216519320724,0.00100633759772073,0,0,0.0374078452196173,0,0,0.0025747303572205,8.52059316236726e-06,0.000689314015875049,0,0,0.000568557190464505,0.0433351015711255,0,0,0.0100140875409949,0,0,0.00183158362886878,0.0432862528369253,0.00242284539656421,0.0128327577811702,0.00072829510273767,0,0,0.00396584338155249,0.000710442146563069,0,0.0285743163319173
"FABP6",0,0.00405101561459626,0.0210350207013269,5.64648983220024e-05,0,0,0,0,0.303432146549969,0,0,0,0,0,0,0,0.000229342443287314,0,0,0,0,0,0.268320024927807,0,0,0.00824094840737792,0.0011861811607891,0.0444209214160061,3.28171871729739e-05,0,0,0.0286911525725786,0,0,3.79019888673906e-05,0.00112018093767601,0,0,0,0,0.0544363671507676,0,0,0.0096280636805208,0,0,0.00190119548668043,0.0368396594759631,0.0113152992392687,0.0211962828815651,0,0,0,0.00395922532866584,0.00158575879905783,0,0.0104783205458934
"FAM183A",0,0.00193929526614513,0.049821752923006,0.0027545999446678,0,0,0.263966764481805,0,0.74499169871526,0,0.407839043766943,0.224184188516668,0.554099156053769,0,0,0.437608758232205,4.04302794082069e-06,0,0,0.477976111137268,0,0.268320024927807,0,0.137304308851716,0,0.033913485103287,0.00628560899849314,0.0694507473836693,0.000114643878213109,0.329619817587223,0.24586342538146,0.0533033337100234,0,0.494172805372684,0.0029854796509506,0.000249424648794185,0,0,0.21546600572748,0,0.0541222977895452,0,0,0.0103844016664607,0.252656831395936,0.329331768778939,0.00277261377173764,0.0533942796193286,0.0056052639946484,0.0194770744214264,0,0.413268709790428,0,0.00508634249035268,0.00117659811718004,0.39016353527275,0.0361006614308443
"FAM229B",0.121748233787351,3.99731850978062e-05,0.0126019306303204,0.000256771479337328,0.141438889767032,0.13250569310442,0,0.138640288056094,0.14853568972858,0.134329787339613,0.12709863260116,0,0.136891588628183,0.148678599654744,0.127928086216526,0.116166206212483,0.000506098888210449,0.124859515109881,0.124510490884629,0.127911912932678,0.122769602933982,0,0.137304308851716,0,0.124633466511793,0.00361315725142027,0.00317520070209601,0.0262217042114176,0.00277243580019321,0,0.120273377288882,0.0162104300173701,0.15595692408095,0.11921314583928,0.000456510174785167,0.00475189938653338,8.70908764751304e-05,0,0,0.000123906845724368,0.035547236670528,0.147153956773867,0.137720975341058,0.0042321801374456,0.111155257212303,0.109828718248825,1.42216880603146e-05,0.0281031087330255,0.00693289327229627,0.00715467727906314,0.00149642343132535,0.118157380553054,0.12253806510339,0.000927543305105049,0.00110558905526908,0.124552368804492,0.00588075179642499
"FAM92B",0,0.00151186140129148,0.0296174947615233,0.00135514026748021,0.558194582573488,0,0,0,0.527142734421089,0,0,0,0,0,0,0,6.07163766609525e-06,0,0,0,0,0,0,0.124633466511793,0,0.0279967263691461,0.00723540820079553,0.0521272566149881,0.000903567334319451,0,0,0.0375329533433084,0,0,0.00144951726738811,7.76680123766614e-05,0.000709039876908187,0,0,0.000308960515755122,0.0443476699016325,0,0,0.00619279803886657,0,0,0.0012092087180986,0.0405998836486337,0.00313005155412824,0.0164939125151811,0.000397418943319312,0,0,0.00370843188587464,0.00058116109439002,0,0.0304630974878919
