"","AC013264.2","AGER","BPIFB1","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C8orf4","C9orf116","C9orf24","CAPSL","CAV2","CCDC146","CCDC170","CCDC78","CEACAM6","CFAP126","CLIC5","CXCL17","DNAAF1","DYNLRB2","FABP6","FAM183A","FAM216B","FAM92B","GGTLC1","HOPX","ITLN2","LDLRAD1","LRRIQ1","MDK","MORN5","MS4A8","MYL9","PIFO","PIGR","RNASE1","ROPN1L","RPS4Y1","RSPH1","RTKN2","S100A14","SCGB1A1","SFTA2","SFTPC","SNTN","SPOCK2","TFPI","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"DNAAF1",0,0.00369112410529529,0.0119873590384921,0.528888290756254,0,0,0.511021191854097,0.5529995530008,0,0,0.0380004270941725,0.219282520223181,0,0,0.0034902837036041,0,0.308745213631114,0,0.020712193156412,0,7.20328238866431e-05,0.0266426658378694,0,0,0.14992775137081,0,0,0,0.00552869945794309,0.0593947119658157,0.00103244493233254,0,0.344632652696258,0.00917668587863803,0,0,0.00220404709826658,0.197281368769052,0.00110865549739044,0.049136648467214,0,0.00994367278576615,0.310803123057617,0.00186956586457299,0.042130432090706,0.0389033714715518,0.0602847872691882,0,0,0.000500486956779843,0.0180349870584514,0,0.00184343841290615,0.000228325099649155,0,0.0455035693027198
"DYNLRB2",0,0.00318260524185708,0.00875524232710187,0.407916488414892,0,0,0.401015236920411,0.424107546869114,0,0,0.0307004818789123,0,0,0.375133669907116,0.00285259405804595,0,0,0,0.0158144107265162,0,0.000284225007118136,0.0251705004175592,0,0,0.126293261652484,0,0,0,0.00355326676370391,0.0536239078035956,0.00108697198947152,0,0,0.00522161473165937,0,0,0.00257226512326228,0,0.00216367085927196,0.0466044588269187,0.382062404923524,0.00666294265025737,0,0.00147573822745144,0.0382971652832822,0.0288448533202753,0.0552057760079293,0,0,0.000214212706752701,0.0152276511844239,0,0.00195378886598543,0.000328045806411571,0,0.0336092393164332
"FABP6",0.126191975506812,0.00912712813355346,0.0033901885066775,0.155108849858964,0.145433630796172,0,0.161722661793726,0.168526921938676,0.161318634840634,0,0.0408801100912069,0,0.165039878284876,0.155846819395432,0.000391363773439297,0,0.132746573323774,0.148403536680117,1.61948948496882e-06,0.138162819890011,0.00019621736119139,0.0295236544992589,0.14992775137081,0.126293261652484,0,0.141259806657516,0.14929340161936,0.162462476161078,0.0068435074257604,0.0896889574389764,0.00217738175774791,0.132870516575139,0.144443284463488,0,0.157896237598125,0.147935755631882,0.0026192266423657,0,0,0.0675248443769744,0.146477472473191,0.0171918761225778,0.137909848425608,0.00124984563007439,0.0234800037736341,0.00638029015070742,0.0614791870095361,0.0201038867248092,0.148222604906336,1.271674718676e-05,0.0278657101504422,0,0.00330610617194149,0.000820535518056618,0.136629145532205,0
"FAM183A",0,0.00388633998395028,0.0104049999388012,0.529162150980858,0,0.210890762195651,0.518999026171474,0.527621017201424,0,0.293001587287917,0.0388057370891237,0.235944979725124,0,0,0.0024528584555975,0,0,0,0.0195572077740868,0.377468606185202,0.000140987368701092,0.0291469570917741,0,0,0.141259806657516,0,0,0,0.00482984205043199,0.0613139042608477,0.00092804795080541,0,0,0,0,0,0.00211327687501465,0.203937178282358,0,0.0538129956589011,0,0.00872260965796344,0.308003902423238,0.00134882993478481,0.0454577499605664,0.0324471574030984,0.0639676482904567,0,0,0.000146883268375519,0.0179850320243644,0,0.0017349835016991,0.00023418157794045,0,0.0409388119520413
"FAM216B",0.448809486225603,0.00325445876094057,0.0122614980913278,0.573789522158443,0.537260962934168,0.198758811758299,0,0.614635131277032,0,0,0.0401562131486067,0.215297594815031,0,0,0.0032326399854289,0.308699668431842,0.310796086194535,0.527686747048529,0.0227179899250347,0,0.000119535243604018,0.0242041426490078,0,0,0.14929340161936,0,0,0.592236863437489,0.00625494889038024,0.0547566554365564,0.000709119155845429,0.52151150805673,0.332586637528067,0.0104058485059669,0.55385631728897,0,0.00205474573054135,0.190557508880198,0.00240953146506112,0.0489406703873942,0.529264066511133,0.00803274586496987,0,0.00186238625574779,0.0432306774925444,0.0362521038617171,0.058730193711307,0,0,0.000788456644131415,0.0186531434620986,0.338667613020909,0.00265248787643304,0.000189814955818089,0,0.0493617570674383
"FAM92B",0.490446299343115,0.00356836684221269,0.0116735609770991,0,0,0.201574322307902,0,0.677492199784774,0,0,0.0417227976697241,0.227152152179677,0,0,0.00368982818296789,0.317531603753847,0.320347837460971,0,0.0243426469771201,0,2.55246343296576e-05,0.0262009256230788,0,0,0.162462476161078,0,0.592236863437489,0,0.00628322007752693,0.0575398157227823,0.000860285304591046,0.507599849340665,0.341237743934994,0.0121858021253002,0.559838283608856,0,0.00220989691397156,0.203872157073104,0.00277132405136192,0.0521447366522118,0,0.00779345990275042,0.31359784341181,0.00196523887141462,0.0452362111202678,0.0393126929160507,0.0600647077383789,0,0,0.000854074582598019,0.0194559197447876,0.375824030643215,0.00269429453293704,0.000120460682142401,0.372958259370927,0.0528589432710321
"GGTLC1",0.00415448724193428,0.0177942985181678,0.0026831770859644,0.00705944905826279,0.00561549056273305,3.53450053425567e-05,0.0050913270455685,0.00683087564456715,0.00620863237572814,0.0011896184412007,0.0115107086361204,0.00483088901177131,0.00445377175390466,0.00463742196074993,0.0134458954562391,0.00397700671594698,0.00504371816172672,0.00548627714018473,0.00773953696674293,0.00331421827615544,0.0124137179107012,0.00547411140537321,0.00552869945794309,0.00355326676370391,0.0068435074257604,0.00482984205043199,0.00625494889038024,0.00628322007752693,0,0.0242455645625468,0.00297953621464581,0.00535613982057075,0.00324539916301295,0.000967695723174144,0.00547035524833846,0.00724743893953649,0.0110668410301778,0.000905433304483148,0.0112658355612765,0.0410980865211792,0.00511913495244411,0.0214074319254744,0.00352883030909493,0.00416093676527211,0.00879210086657975,0.000825530969604287,0.0221802625810862,0.0177888797237563,0.00596956015813901,0.00442882303717348,0.00112457902324949,0.00425494086465958,0.0203075427496587,0.00339336443567228,0.00345594991495915,0.0120137270309174
"HOPX",0.0481074384402616,0.0283709835969044,0.0212502192613186,0.0635257773191963,0.0521766838188907,0.0631985180454776,0.0679709866537621,0.0654669373672383,0.0597343854565165,0.0638278272668237,0.0311784803339469,0.0610863204526086,0.0729390883755708,0.0630716105347064,0.00476465333135401,0.054565144266703,0.0530555528657613,0.0606883403682508,4.72110325890132e-05,0.0620018869698233,0.00724829356221416,0,0.0593947119658157,0.0536239078035956,0.0896889574389764,0.0613139042608477,0.0547566554365564,0.0575398157227823,0.0242455645625468,0,0.0182492912013509,0.0522234100296909,0.0661168517291798,0.0266021310498746,0.0575133053772995,0.0641565437430683,0.0211802708952026,0.0327795479043391,0,0.0905133999879625,0.0548603995381553,0.0175053638749786,0.0657136858823922,0.0128264656942749,0,0.00823060078805117,0.109215618608536,0,0.0549982941126865,0.00104865370760819,0.0328088034910632,0.0403992841346629,0.0229360502361019,0.00565572173716792,0.0593863200229074,0
"ITLN2",0.00105867033601511,0.111034693465869,0.00035583065504085,0.00109821979867578,0.00088276892269083,0.00154575049451621,0.000965058464574171,0.000846768895410046,0.000708819265266889,0.0020975119261477,0.021141300142914,0.00210845268790151,0.0011832561225903,0.000900525574933197,0.0370833869892556,0.000921969238845466,0.00138196196010115,0.000880424016439548,0.00195653910127682,0.00133691868650055,0.0711504390657035,0.0273848342115757,0.00103244493233254,0.00108697198947152,0.00217738175774791,0.00092804795080541,0.000709119155845429,0.000860285304591046,0.00297953621464581,0.0182492912013509,0,0.000798836582491862,0.000363580613496268,0.0141669092785247,0.000723186903627507,0.0012215622482185,0.0532456097013149,0.00244422556592773,0.0227789310089459,0.0161955780249054,0.00080808669590915,0.00154648419892879,0.00121014438311819,0.186822081021533,0.00375204143723482,0.00300422906723049,0.00372134920234703,0.000411073216276244,0.000974569291345687,0.103198689049869,0.0157379640778922,0.000352796143067995,0.0698362914331316,0.0980624192536762,0.00107142919429219,0.0270226631211623
"LDLRAD1",0,0.00354576014601933,0.0120062193908469,0,0,0,0,0.505803130618598,0.482662368926674,0,0.0370852606288985,0,0,0,0.0032213622314614,0,0,0,0.020515931173136,0,5.02149111273979e-05,0.0222347933179334,0,0,0.132870516575139,0,0.52151150805673,0.507599849340665,0.00535613982057075,0.0522234100296909,0.000798836582491862,0,0,0.00937322241609927,0,0,0.00193876244548556,0,0.00217755961623439,0.0469420285093175,0,0.00729251434585807,0,0.00202487943155245,0.0402289528883523,0.033422524843487,0.054939346960395,0,0,0.000705423252038516,0.0177243320898355,0,0.00281621980167401,0.00021618542611541,0,0.0446382220030428
