"","AC013264.2","AGER","BPIFB1","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C8orf4","C9orf116","C9orf24","CAPSL","CAV2","CCDC146","CCDC170","CCDC78","CEACAM6","CFAP126","CLIC5","CXCL17","DNAAF1","DYNLRB2","FABP6","FAM183A","FAM216B","FAM92B","GGTLC1","HOPX","ITLN2","LDLRAD1","LRRIQ1","MDK","MORN5","MS4A8","MYL9","PIFO","PIGR","RNASE1","ROPN1L","RPS4Y1","RSPH1","RTKN2","S100A14","SCGB1A1","SFTA2","SFTPC","SNTN","SPOCK2","TFPI","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"C8orf4",0.00292494275928835,0.0196451767785039,0.0127161018751765,0.00125049293183163,0.000919497457167523,0.0112034145371476,0.00247645753717615,0.00190526728950963,0.00121701665623209,0.00750074550516397,0,0.00829479294200068,0.00307232832978187,0.00130737338975428,0.0355398780873192,0.00578084362745734,0.00461198948810643,0.00143360442558611,0.0316826188332552,0.00339058035610726,0.0172011115666272,0.0437407438726191,0.00359212316557337,0.00459673336870047,0.014895746265128,0.00245975487951037,0.000654300699218574,0.000741232344761772,0.0326263525836328,0.0378541361749893,0.00887834293680857,0.00116809181200307,0.00530710220114695,0.0281346462005019,0.00127868734051393,0.00283898360512448,0.0315611363796192,0.0139328160488736,0.0377519461389875,0.0266300625084159,0.00198373757211949,0.0481892746684353,0.00558077214229706,0.0154608863496692,0.0396158473875953,0.0256560037257701,0.0251404082911172,0.0258958929547981,0.00242950574398506,0.0150343034282599,0.103303743279539,0.00124972154359695,0.0214983202967876,0.0107425612663288,0.00490877985765658,0.0299033497907679
"C9orf116",0.0114886932097588,0.00181115877023722,0.00855004137849939,0.0244946069875524,0.0109528536108195,0.0222409365677885,0.0232936888248461,0.00954887616329363,0.0108419314538323,0.0186087292179823,0.0116624612224656,0,0.0202894140790539,0.0318515120259736,0.00513041671404029,0.0129845900764731,0.00805290877709486,0.0240779410271328,0.00509956323010326,0.0221555070082793,0.00533376115615129,0.00645678075665319,0.0124844638798794,0.0254956135146953,0.0119426269263508,0.0249389835145198,0.0161799868460894,0.0270295929121349,0.0037717544921204,0.0100758877229438,0.000803665604317902,0.0176164464989074,0.00860098425050286,0.00483316377217365,0.043740781418082,0.0171942932527052,0.00676006661371941,0.0253084453985502,0.00638565893856625,0.00725911419513086,0.0238116228050982,0.00696847634739085,0.0196164841119283,0.00107766909014119,0.00976500018144154,0.00437836312297526,0.0125102341759484,0.00317238813866316,0.0122818657158967,0.00278031626728258,0.00502484510251856,0.0152851573059654,0.00361192222694808,0.00187482515274573,0.0145226637640856,0.00192162111978371
"C9orf24",0.0881819782203923,0.00160996108872738,0.0101274840188224,0.119790755030845,0.114396938691187,0.0771384254333211,0.135334942678235,0.138995873538328,0.113046222220623,0.103327531894875,0.02335383415839,0.0876178343461231,0,0.0947884921625907,0.0030984994502596,0.0720827041357084,0.0980094812831043,0.121361553231104,0.0132177595900723,0.0849663970090544,0.00177071669526832,0.0116865173119447,0.115249726131943,0.108742294676246,0.0881769901596176,0.11546651743206,0.11724052276461,0.104992525502977,0.00183572237676333,0.0369820122947684,0.000504228942992055,0.103853357484272,0.110429604007367,0.00768076831044635,0.0868843352691637,0.112087958035924,0.00220564265072301,0.0680377183512684,0.00275173654186818,0.030893802122508,0.107914221085729,0.00307946524764212,0.111382802749982,0.000826652217508037,0.0306554496718274,0.0121381486236389,0.0336562490418077,0.00291571281406889,0.115671087831972,0.00161114792593638,0.0062502155080968,0.0746899212384539,0.00196824969804685,0.000481528498785153,0.120034496452901,0.0133839066859173
"CAPSL",0.0151253334120434,0.00040118966267396,0.00322572635185774,0.0529515924011811,0.0326005188974606,0.0376160320041453,0.041866935106457,0.0234970130690293,0.0335357006429771,0.052141250006615,0.00273369621447511,0.0506574858141954,0.0380537511913777,0,0.00172104051744185,0.0408531064434651,0.0360942536582254,0.0532088248160043,0.00291860140521726,0.0526880687491049,0.000918320092468728,0.00261749338226789,0.0247149254900585,0.0482368698712259,0.0197164679106769,0.0463218591951454,0.0382381927378631,0.034846723390298,0.000642236621083101,0.00804087853238303,0.000342362198793018,0.0385915020227088,0.0221193539394428,0.00130469687432136,0.0403733815920185,0.0213817950985714,0.00121861523786554,0.0522544891646086,0.00179128048288508,0.00807930470896157,0.0376215240650121,0.0022641340150219,0.0319133184915274,0.000178579070134308,0.00745560537785805,0.00201538894187105,0.00563735948071699,0.00102206954769588,0.0497527594598098,0.000999587483825844,0.00131362226573555,0.0317335047697706,0.000390725003419191,0.000362787934123887,0.0411314497437308,0.000830587821161757
"CAV2",0.00149195686291882,0.0711291832024185,0.0118400852032168,0.000636507434247487,0.00115761592399149,0.00826002584164783,0.00114547860976035,0.000847346863385214,0.00162081704775655,0.00404895399880291,0.0282762544460811,0.00495190609027871,0.000909652583876797,0.00160521736025753,0,0.00486802037424069,0.00326233541635679,0.00137739756351092,0.0182028772866058,0.00244789695139218,0.0600413251963228,0.0233919104186079,0.00123632130576456,0.00257822898096547,0.011013581881865,0.00176612812491517,0.00163522116483356,0.00121176127088066,0.0443534347394046,0.0177627385830713,0.0516745498198785,0.00233011456873807,0.00330795278980487,0.0207053140566104,0.00118739094380309,0.0031335201191792,0.0557427766278099,0.00727525586346925,0.0214837539975539,0.0184269861426799,0.00106720536671902,0.0410366819198193,0.00279237176412308,0.070794253422967,0.0248752051020083,0.0158667449580793,0.0147200542614822,0.0113982925236027,0.00127118009824457,0.0576738911791253,0.0324510186401982,0.00324664204157929,0.0708827142787851,0.0509593579152144,0.00257413933469752,0.0135659801358436
"CCDC146",0.0065686351748204,0.000760857007298838,0.00457298482940654,0.004979786176285,0.00581496833034501,0.00427936389501316,0.00298808082030612,0.00143340796318813,0.00420302194846954,0.00304267307953228,0.0024589749825467,0.0028459158498822,0.00147614555985353,0.0056978962828523,0.00373608940224404,0,0.005302750692082,0.00638408547793919,0.00172054091527828,0.00393074010474494,0.00222563906193371,0.00326045667673945,0.00247241870569807,0.0031165784608203,0.00475446902984954,0.00363257432495005,0.00487076078988232,0.00723394045637101,0.00142673340641658,0.00251766072745068,0.00091813236461078,0.00775764795958944,0.00500142047057331,0.00257737183771467,0.00929641049775633,0.00384405680740274,0.00359045183294886,0.00323147684310369,0.00309818379003672,0.00229385453111188,0.00515296842162777,0.00346224527386807,0.00197508521348455,0.000523636828373908,0.00310406632315731,0.00387683284055695,0.00381328934383383,0.00133353592762552,0.00442805162576751,0.0015531496929996,0.00315196659141766,0.0112134512468115,0.00137099766813719,0.00232688212141493,0.00470836915950291,0.0023730885690818
"CCDC170",0.00687763872531582,0.000654463301504246,0.0032213420939959,0.00661688671321884,0.0128707824873315,0.00361990049457468,0.00253254450213934,0.00297387461525505,0.00846988336829284,0.00548415770841553,0.00220181521669328,0.00727710863588397,0.00687579901078224,0.00975540764862125,0.00239850189759898,0.0111514534831436,0,0.0131193048406585,0.0014564082557144,0.00976228839236259,0.00157402087184294,0.00308125295525011,0.00991638971571106,0.00434794675354638,0.00962149492105075,0.0070394399694623,0.00694561124035736,0.00541157880925986,0.00116973825780627,0.00333219788148022,0.000100474625056959,0.00848773832237694,0.0131021209426503,0.00222067617897572,0.00860073774047583,0.00478161216743445,0.0023086672989789,0.0046035494648649,0.00331205536230229,0.00243579371093415,0.0071488154829421,0.00313785045155296,0.00417489768571528,0.000515282169950654,0.00501828893027882,0.00278371108471722,0.00337166493915403,0.00158279801926342,0.00665109838006608,0.0013062989384324,0.00219933722249627,0.0101837362435036,0.00107704989515816,0.000629545573310691,0.00776246772279692,0.000793971403619294
"CCDC78",0.0223975370805395,0.000369592483759411,0.00358935083407971,0.0275412552265252,0.0334288717524402,0.0196656750072929,0.027147136451374,0.0329591617798154,0.0281521210254671,0.0174392046743905,0.00317194769168892,0.0344896363198358,0.0322032324072427,0.0456587733682368,0.00146992585577376,0.0325564951510301,0.0498931909734056,0,0.00231218696103005,0.0146646119681232,0.00129921795059608,0.00307613494328401,0.0501729204072637,0.0238212182365612,0.0272028920892739,0.0313094776626702,0.0355937842849037,0.0191456427666032,0.000402829434917233,0.0107147508955257,0.000123059452573088,0.0307914865231712,0.0406593091548619,0.00188899101152667,0.0383627380751547,0.0284795527857385,0.00122565778940917,0.0167103538534446,0.00189321307324377,0.00524726641534727,0.0349304501879503,0.00179359287226017,0.0283977788920238,0.000180608767487769,0.00515223278372198,0.00663163909220694,0.0033247231680525,0.00132845900163239,0.0182085918167722,0.000583817384084942,0.00144010854917746,0.0181076191392512,0.000763614878871489,0.000220176609637949,0.0251947699817891,0.00350538951510058
"CEACAM6",0.00149374589274856,0.00989347939447373,0.0246646715100254,0.000969381720464754,0.00118509931163549,0.0113392532791991,0.00156508649439298,0.00117022206759482,0.000679546966343627,0.00567523681173114,0.029794655623569,0.0107934008030121,0.00208069391268475,0.00179225933966494,0.0273784372069513,0.00523671047854338,0.00533995785882474,0.00181598401895485,0,0.00296110744959177,0.0225840761448673,0.0322316549305124,0.00248488112612812,0.00383908767655169,0.0162077952039247,0.00251635736132549,0.000839611332776792,0.000892898029380562,0.0360432864815603,0.0262247891830387,0.016000270796509,0.00211609055024969,0.00542116753179608,0.0976544940516641,0.000845535804475328,0.00329152599229206,0.0245023899321937,0.00988954167893644,0.0356295708549718,0.0341120233832794,0.00107527316073094,0.0477159673944428,0.00533311175273935,0.00951228419786839,0.0347857118206394,0.0384600062362585,0.0276290474807322,0.140555225873997,0.00192613122285961,0.0208568625290802,0.0304209469611802,0.00199755508952116,0.017633414966651,0.0277268961224722,0.00271868871269704,0.0532645088339832
"CFAP126",0.00449819122154326,0.000683774752161829,0.00344333834573132,0.0124790953740747,0.00565188654107101,0.0143188246893229,0.00462059557851837,0.00159825165237909,0.00608325638844174,0.0500403631740285,0.00130267014390354,0.0304034561898277,0.00674466955893921,0.01313101624331,0.00175537077161469,0.00738541083139207,0.014529258427554,0.00287836608889398,0.00131832427221513,0,0.00100887454184755,0.00348646091330761,0.00566214781378669,0.0126313210332525,0.00753288154213418,0.0109010299687937,0.00627556029672639,0.00614996062655167,0.00121003677943907,0.00214626923139803,3.78095001120921e-05,0.004179789176315,0.00825569150258348,0.00124495314823011,0.0124981545305456,0.00235301477970627,0.00178130659354953,0.0216250328254961,0.00325136163665868,0.00168865362347342,0.0177950457339364,0.00434554211700129,0.0171481652358558,0.000315407359162548,0.0012115337055767,0.00214576408412323,0.00132708297794353,0.00128441473415111,0.00383625442257962,0.000800311158719084,0.00179072475757469,0.00867773581304945,0.000725110032953001,0.000168356718038367,0.0110595647168192,0.000635692949366877
"CLIC5",0.000767107529174644,0.0490265792709103,0.00270516460073859,0.000414044673493411,0.000442204255427964,0.00422058428914535,0.000619055766323381,0.00047288447436854,0.0006858858555522,0.00153269068899664,0.00819838367166517,0.00284380621959955,0.000528212060319073,0.0014708438328055,0.0363422734452248,0.00160861659677516,0.00163216583813674,0.00058556514707031,0.0081704887708361,0.000860235941515044,0,0.0112781977828377,0.000750483606228539,0.00140724489908666,0.00185879622013475,0.000990805910785004,0.000712049405885628,0.000707547072721155,0.0163314668905689,0.00601567644030403,0.0584020539649525,0.00147037703676321,0.00188752499330065,0.00738266017351159,0.000646474239505886,0.00121275182241965,0.0335729658856435,0.00246279995780251,0.00839268370857615,0.00546234291086875,0.000406314999798948,0.0074551740885948,0.00122726021757874,0.0503261731991006,0.00821124624616058,0.00767902218240546,0.0048441664691962,0.00510448167954439,0.000507699593428175,0.0384602434464706,0.00765179886564571,0.00169754595395383,0.0486259151501699,0.0436679314482504,0.00107727965616248,0.0061650629008427
"CXCL17",0.00352737788613553,0.0371679199866236,0.039355112157561,0.00200610862932256,0.00296099131256721,0.0139683770594398,0.00142711043697891,0.00112524322401834,0.00203974909061436,0.00872646443414734,0.0633745841913054,0.0105213814832956,0.00234309043786318,0.00252585434711823,0.0341956441818369,0.00783145242236826,0.00640212405128157,0.00247032065254373,0.0357085915974295,0.00507856454477455,0.02712548887442,0,0.00288711088040329,0.0059767930872911,0.0136693699018712,0.00300112717800414,0.00217280442858744,0.0020380325078245,0.0324006565146771,0.0263839706914126,0.0172027090602616,0.00254829472493346,0.00545542262041439,0.0328456097445582,0.00195865433247948,0.00382169944153967,0.0377599511004999,0.015772582209015,0.0950740173182932,0.0752057424810677,0.00276147609373146,0.0484284380958034,0.00684671296264978,0.0282906625484493,0.055096786909533,0.0305608781323796,0.035622623069479,0.0566874018963846,0.00266197453938425,0.0314952916396252,0.0597537997951747,0.00391591793723594,0.0288556920429035,0.0190508302150321,0.00511216577250093,0.0190041547353675
"DNAAF1",0.0391900827034051,0.000983266843978211,0.00557274662620422,0.0275816070951431,0.0206354810802015,0.0163433044543732,0.0364572647179081,0.0398722771547186,0.0258108577039127,0.0246941660872614,0.00807984711206031,0.0149129799000955,0.0425988558325013,0.0228293529245565,0.00135027736051273,0.0342316621961732,0.0539889421333904,0.0542708914071203,0.00346587798722154,0.0175018809895894,0.00167607318828136,0.00290727188254501,0,0.0281865465143362,0.0285193310586118,0.0517088225239886,0.0245616417122972,0.0258740037542172,0.00108671427563621,0.00534671634303879,0.000566379887201784,0.0290397246585429,0.0805657908505287,0.00458586324114309,0.0194416567236044,0.0440963890689098,0.00196075594484502,0.0204900675700943,0.00267280956332193,0.00670287582668961,0.0211775602855306,0.00473115050609657,0.0372581969311606,0.000640892919744807,0.0111665005128811,0.00980608981006361,0.0147174889726289,0.00216793426434943,0.0234318610813489,0.00131601793699231,0.00277366438500272,0.0284022503201228,0.00119831115422207,0.00133883384566664,0.026373546749749,0.00566218296846744
"DYNLRB2",0.0276982572742063,0.00123846224940942,0.00331267997620853,0.0135612165147405,0.015403106691303,0.0051970806112283,0.0104711255651635,0.0172704758831325,0.0282258807233387,0.0108215905874556,0.00288373030016428,0.00886542461858904,0.024201784520277,0.014563031745553,0.00289113572807375,0.0141335273538481,0.00945970873277386,0.0107567443238416,0.00446344975154681,0.0198028528557236,0.00255124154164098,0.00582903729714719,0.0123104732654143,0,0.0122859480767116,0.0186666536117099,0.0144949993747246,0.0145837558307484,0.00231222977511481,0.00394529199924998,0.000878514504364287,0.0104504437855399,0.0135398153460291,0.00466146114806405,0.0132989670682788,0.00987515773533202,0.00340434229795649,0.00782771466808131,0.00320083816058603,0.00537622257201497,0.01907910248465,0.00348816112193586,0.0139333183740975,0.000347150526992311,0.00603240798849784,0.00552342118969051,0.00537613228602601,0.00276752239814652,0.018493411221117,0.00217782718633711,0.00249188131289544,0.0186486564615891,0.00142326681188607,0.000892619324180235,0.0111655354294507,0.0028569851122332
"FABP6",0.00422340840182759,0.00132373929737282,0.00519372009120175,0.0032210663770588,0.00461123060054116,0.00626299257738436,0.00144772629126214,0.0024510408861408,0.00479954809743971,0.00332423191144455,0.00850197807271973,0.00466282710702755,0.00230768800137875,0.00267403885671228,0.00951925299738872,0.00488263111076072,0.00618506548496893,0.00370232328565153,0.00392566241533917,0.00423850700815014,0.00201519044710827,0.00563770961644985,0.00401069142523851,0.0035894210997468,0,0.00341975753418939,0.00384538883194221,0.00541301154874015,0.00262618711484359,0.0202166818868568,0.000148998883169851,0.00539009139452996,0.00524004704678116,0.00620043537360486,0.00370139895636348,0.0043541097337199,0.0044057860107612,0.00310271805191962,0.00666149223636766,0.00697660089047296,0.0035111910514848,0.0177324408129982,0.00309626377457202,0.00103750769624522,0.00683791936221174,0.00312999243302886,0.00527788850201024,0.00562720601368532,0.00235412198667623,0.00260279343645002,0.0197234379352823,0.00853428316925112,0.0019872356253075,0.00104837412088278,0.00408937650310551,0.00104593475796411
"FAM183A",0.080054480544609,0.000878113698201663,0.00479268540143362,0.0810036643306319,0.081379177317627,0.0672758069616757,0.0988685516004004,0.0872912536982228,0.0687021604269336,0.0649825618194946,0.0102517280292674,0.0710816483234777,0.0797617496928674,0.0906014504509316,0.00238013156398272,0.0386457743161079,0.0529183696572743,0.0701233225714544,0.0102237039708741,0.0792698465962055,0.00223620565821438,0.0119550786599954,0.079725189053469,0.07013641087255,0.0396756760308416,0,0.0688355519980196,0.0654423820163203,0.00127139399555184,0.0157607183073273,0.000438512917006153,0.0743632199820827,0.0498220833242843,0.00572183578386765,0.0949014049852414,0.0676395148673541,0.00217610478689194,0.0699211289241174,0.00343550186708252,0.0214116705854108,0.0709372327966221,0.00358384060738083,0.077252540464548,0.000814034355781024,0.0184884920706435,0.00640059579375562,0.0192023129181963,0.0027937091427929,0.0725176045872902,0.00135906422108804,0.00288225378737943,0.0577013715425495,0.0010825991208139,0.00108693011640117,0.0763926808602796,0.00646103550036602
